Date,DVN
3/4/2016,23.31
3/7/2016,24.19
3/8/2016,21.47
3/9/2016,22.93
3/10/2016,22.48
3/11/2016,24.78
3/14/2016,24.79
3/15/2016,24.09
3/16/2016,26.22
3/17/2016,27.4
3/18/2016,27.54
3/21/2016,28.02
3/22/2016,28.01
3/23/2016,25.76
3/24/2016,26.47
3/28/2016,25.84
3/29/2016,26.09
3/30/2016,26.2
3/31/2016,27.44
4/1/2016,26.61
4/4/2016,26.05
4/5/2016,26.39
4/6/2016,27.56
4/7/2016,27.6
4/8/2016,28.77
4/11/2016,29.05
4/12/2016,30.96
4/13/2016,30.96
4/14/2016,31.35
4/15/2016,31.4
4/18/2016,32
4/19/2016,33.62
4/20/2016,34.75
4/21/2016,33.93
4/22/2016,35.2
4/25/2016,33.95
4/26/2016,34.62
4/27/2016,36.91
4/28/2016,36.11
4/29/2016,34.68
5/2/2016,34.56
5/3/2016,32.75
5/4/2016,31.31
5/5/2016,31.2
5/6/2016,31.4
5/9/2016,30.04
5/10/2016,31.54
5/11/2016,32.54
5/12/2016,32.71
5/13/2016,32.52
5/16/2016,33.79
5/17/2016,34.63
5/18/2016,34.12
5/19/2016,33.9
5/20/2016,34.25
5/23/2016,34.54
5/24/2016,34.49
5/25/2016,36.44
5/26/2016,35.9
5/27/2016,35.9
5/31/2016,36.09
6/1/2016,36.15
6/2/2016,36.81
6/3/2016,35.92
6/6/2016,37.56
6/7/2016,38.76
6/8/2016,37.58
6/9/2016,37.45
6/10/2016,35.12
6/13/2016,35.78
6/14/2016,35.55
6/15/2016,35.09
6/16/2016,34.8
6/17/2016,35.98
6/20/2016,37.32
6/21/2016,38.19
6/22/2016,37.94
6/23/2016,38.8
6/24/2016,35.85
6/27/2016,33.75
6/28/2016,35.99
6/29/2016,36.69
6/30/2016,36.25
7/1/2016,37.45
7/5/2016,36.15
7/6/2016,36.98
7/7/2016,36.81
7/8/2016,37.58
7/11/2016,37.67
7/12/2016,40.01
7/13/2016,39
7/14/2016,38.39
7/15/2016,38.29
7/18/2016,38.11
7/19/2016,37.75
7/20/2016,37.96
7/21/2016,37.33
7/22/2016,37.75
7/25/2016,36.08
7/26/2016,37.46
7/27/2016,36.13
7/28/2016,36.13
7/29/2016,38.28
8/1/2016,35.91
8/2/2016,36.12
8/3/2016,38
8/4/2016,38.61
8/5/2016,39.51
8/8/2016,40.2
8/9/2016,39.9
8/10/2016,39.57
8/11/2016,41.31
8/12/2016,41.67
8/15/2016,41.96
8/16/2016,42.47
8/17/2016,43.31
8/18/2016,44.76
8/19/2016,44.33
8/22/2016,44.1
8/23/2016,45.23
8/24/2016,44.51
8/25/2016,44.38
8/26/2016,44.43
8/29/2016,45.01
8/30/2016,44.44
8/31/2016,43.33
9/1/2016,43.7
9/2/2016,44.27
9/6/2016,44.21
9/7/2016,44.2
9/8/2016,45.28
9/9/2016,43.36
9/12/2016,43.19
9/13/2016,41.14
9/14/2016,40.18
9/15/2016,40.9
9/16/2016,40.99
9/19/2016,40.85
9/20/2016,40.66
9/21/2016,42.17
9/22/2016,41.88
9/23/2016,39.54
9/26/2016,39.64
9/27/2016,38.38
9/28/2016,41.58
9/29/2016,43.04
9/30/2016,44.11
10/3/2016,44.2
10/4/2016,43.28
10/5/2016,44.18
10/6/2016,43.48
10/7/2016,42.81
10/10/2016,44.39
10/11/2016,44.14
10/12/2016,44.56
10/13/2016,43.9
10/14/2016,43.08
10/17/2016,41.77
10/18/2016,41.9
10/19/2016,42.96
10/20/2016,42.94
10/21/2016,42.69
10/24/2016,41.72
10/25/2016,40.67
10/26/2016,40.2
10/27/2016,40.46
10/28/2016,39.18
10/31/2016,37.89
11/1/2016,37.69
11/2/2016,39.55
11/3/2016,40.51
11/4/2016,40.19
11/7/2016,41.82
11/8/2016,41.98
11/9/2016,43.62
11/10/2016,43.14
11/11/2016,41.85
11/14/2016,42.81
11/15/2016,45
11/16/2016,43.98
11/17/2016,42.87
11/18/2016,43.82
11/21/2016,44.9
11/22/2016,44.48
11/23/2016,45.04
11/25/2016,44.23
11/28/2016,42.65
11/29/2016,42.16
11/30/2016,48.33
12/1/2016,47.85
12/2/2016,47.85
12/5/2016,47.74
12/6/2016,47.31
12/7/2016,47.55
12/8/2016,47.74
12/9/2016,48.07
12/12/2016,48.12
12/13/2016,48.19
12/14/2016,47.02
12/15/2016,47.53
12/16/2016,47.38
12/19/2016,47.04
12/20/2016,46.66
12/21/2016,46.57
12/22/2016,46.9
12/23/2016,46.54
12/27/2016,46.84
12/28/2016,46.24
12/29/2016,45.95
12/30/2016,45.67
1/3/2017,47.08
1/4/2017,47.5
1/5/2017,49.01
1/6/2017,48.67
1/9/2017,46.58
1/10/2017,46.7
1/11/2017,47.4
1/12/2017,46.46
1/13/2017,46.41
1/17/2017,46.48
1/18/2017,46.36
1/19/2017,46.09
1/20/2017,46.26
1/23/2017,45.63
1/24/2017,46.59
1/25/2017,46.46
1/26/2017,47.15
1/27/2017,46.64
1/30/2017,45.07
1/31/2017,45.54
2/1/2017,45.54
2/2/2017,45.65
2/3/2017,46.79
2/6/2017,45.27
2/7/2017,44.14
2/8/2017,44.06
2/9/2017,44.75
2/10/2017,45.41
2/13/2017,45.26
2/14/2017,45.94
2/15/2017,44.23
2/16/2017,44.11
2/17/2017,44.17
2/21/2017,45.06
2/22/2017,43.76
2/23/2017,43.99
2/24/2017,42.81
2/27/2017,43.06
2/28/2017,43.36
3/1/2017,44.63
3/2/2017,43.47
3/3/2017,43.35
3/6/2017,43.94
3/7/2017,43.56
3/8/2017,40.72
3/9/2017,40.77
3/10/2017,40.26
3/13/2017,40.96
3/14/2017,40.02
3/15/2017,41.12
3/16/2017,40.72
3/17/2017,40.54
3/20/2017,40.54
3/21/2017,39.8
3/22/2017,39.34
3/23/2017,39.09
3/24/2017,38.8
3/27/2017,38.88
3/28/2017,39.62
3/29/2017,41.22
3/30/2017,41.45
3/31/2017,41.72
4/3/2017,42.03
4/4/2017,42.49
4/5/2017,41.52
4/6/2017,42.88
4/7/2017,42.54
4/10/2017,43.06
4/11/2017,42.52
4/12/2017,41.87
4/13/2017,40.65
4/17/2017,41.01
4/18/2017,40.53
4/19/2017,39.25
4/20/2017,39.7
4/21/2017,39.73
4/24/2017,39.82
4/25/2017,40.59
4/26/2017,40.59
4/27/2017,39.35
