Date,ET
3/4/2016,8.33
3/7/2016,8.26
3/8/2016,7.32
3/9/2016,7.5
3/10/2016,7.13
3/11/2016,6.82
3/14/2016,7.2
3/15/2016,7.07
3/16/2016,7.65
3/17/2016,7.92
3/18/2016,8.01
3/21/2016,7.6
3/22/2016,7.67
3/23/2016,7.15
3/24/2016,7
3/28/2016,6.68
3/29/2016,6.82
3/30/2016,6.84
3/31/2016,7.13
4/1/2016,6.88
4/4/2016,6.55
4/5/2016,6.45
4/6/2016,6.94
4/7/2016,7.07
4/8/2016,8.05
4/11/2016,8.54
4/12/2016,8.6
4/13/2016,9.36
4/14/2016,9.35
4/15/2016,8.95
4/18/2016,9.85
4/19/2016,10.33
4/20/2016,10.45
4/21/2016,11.2
4/22/2016,11.66
4/25/2016,11.31
4/26/2016,11.79
4/27/2016,13.29
4/28/2016,12.62
4/29/2016,12.43
5/2/2016,12.12
5/3/2016,12.03
5/4/2016,12.2
5/5/2016,13.07
5/6/2016,12.94
5/9/2016,12.69
5/10/2016,12.82
5/11/2016,13.09
5/12/2016,12.97
5/13/2016,12.64
5/16/2016,12.79
5/17/2016,13.05
5/18/2016,12.67
5/19/2016,13.05
5/20/2016,12.78
5/23/2016,12.66
5/24/2016,12.2
5/25/2016,11.13
5/26/2016,11.01
5/27/2016,11.64
5/31/2016,12.64
6/1/2016,13.66
6/2/2016,13.61
6/3/2016,13.58
6/6/2016,13.72
6/7/2016,13.8
6/8/2016,14.07
6/9/2016,13.53
6/10/2016,12.94
6/13/2016,12.87
6/14/2016,12.69
6/15/2016,12.65
6/16/2016,12.96
6/17/2016,12.99
6/20/2016,12.2
6/21/2016,14.32
6/22/2016,14.35
6/23/2016,14.35
6/24/2016,13.83
6/27/2016,13.6
6/28/2016,14.41
6/29/2016,14.7
6/30/2016,14.37
7/1/2016,13.8
7/5/2016,14.11
7/6/2016,15.1
7/7/2016,15.28
7/8/2016,15.58
7/11/2016,15.5
7/12/2016,16.05
7/13/2016,15.92
7/14/2016,16.4
7/15/2016,16.34
7/18/2016,17
7/19/2016,16.81
7/20/2016,16.99
7/21/2016,16.88
7/22/2016,16.86
7/25/2016,16.15
7/26/2016,16.49
7/27/2016,16.45
7/28/2016,16.72
7/29/2016,16.59
8/1/2016,15.6
8/2/2016,15.89
8/3/2016,16.82
8/4/2016,16.03
8/5/2016,16.51
8/8/2016,16.8
8/9/2016,16.72
8/10/2016,16.61
8/11/2016,16.95
8/12/2016,17.32
8/15/2016,17.82
8/16/2016,17.84
8/17/2016,17.7
8/18/2016,18.02
8/19/2016,18.04
8/22/2016,17.87
8/23/2016,18.15
8/24/2016,18.06
8/25/2016,18.01
8/26/2016,18.19
8/29/2016,18.18
8/30/2016,18.23
8/31/2016,17.9
9/1/2016,17.81
9/2/2016,17.84
9/6/2016,18.08
9/7/2016,18.49
9/8/2016,18.96
9/9/2016,18.11
9/12/2016,18
9/13/2016,16.81
9/14/2016,16.69
9/15/2016,16.66
9/16/2016,16.16
9/19/2016,16.42
9/20/2016,16.43
9/21/2016,16.79
9/22/2016,16.91
9/23/2016,16.81
9/26/2016,16.73
9/27/2016,16.41
9/28/2016,16.7
9/29/2016,16.58
9/30/2016,16.79
10/3/2016,16.71
10/4/2016,16.22
10/5/2016,16.59
10/6/2016,16.49
10/7/2016,15.95
10/10/2016,16.35
10/11/2016,15.97
10/12/2016,15.58
10/13/2016,15.66
10/14/2016,15.72
